Time,compte à vue ING,ING zichtrekening,ING Do Basic,compte BNP,BNP rekening
2021-09-12,0,0,0,27,0
2021-09-19,0,0,0,29,0
2021-09-26,0,0,0,38,0
2021-10-03,0,0,0,18,0
2021-10-10,0,0,0,23,0
2021-10-17,0,0,0,22,0
2021-10-24,0,0,0,33,0
2021-10-31,0,0,0,30,0
2021-11-07,0,0,0,34,0
2021-11-14,0,0,0,38,0
2021-11-21,0,0,0,28,0
2021-11-28,0,0,0,39,0
2021-12-05,0,0,0,37,18
2021-12-12,0,0,0,31,13
2021-12-19,0,0,0,18,0
2021-12-26,0,0,0,27,0
2022-01-02,0,0,0,40,13
2022-01-09,0,0,0,40,0
2022-01-16,0,0,0,31,0
2022-01-23,0,0,0,37,0
2022-01-30,0,0,0,17,0
2022-02-06,0,0,0,29,0
2022-02-13,0,0,0,22,0
2022-02-20,0,0,0,25,0
2022-02-27,0,0,0,28,0
2022-03-06,0,0,0,18,0
2022-03-13,0,0,0,19,0
2022-03-20,0,0,0,19,0
2022-03-27,0,10,0,30,0
2022-04-03,0,0,0,29,0
2022-04-10,0,0,0,24,0
2022-04-17,0,9,0,28,0
2022-04-24,0,0,0,30,0
2022-05-01,0,0,0,26,11
2022-05-08,0,0,0,17,14
2022-05-15,0,0,0,21,0
2022-05-22,0,0,0,23,0
2022-05-29,0,0,0,21,0
2022-06-05,0,0,0,25,0
2022-06-12,0,0,0,27,0
2022-06-19,0,0,0,24,0
2022-06-26,0,0,0,22,0
2022-07-03,0,0,0,33,0
2022-07-10,0,0,0,24,0
2022-07-17,0,0,0,20,0
2022-07-24,0,0,0,32,0
2022-07-31,0,0,0,17,0
2022-08-07,0,0,0,18,0
2022-08-14,0,0,0,30,0
2022-08-21,0,0,0,38,0
2022-08-28,0,13,0,24,0
2022-09-04,0,0,0,41,0
2022-09-11,0,0,0,33,0
2022-09-18,0,0,0,25,0
2022-09-25,0,0,0,31,0
2022-10-02,0,0,0,30,0
2022-10-09,0,0,0,28,0
2022-10-16,0,0,0,36,0
2022-10-23,0,14,0,29,0
2022-10-30,0,0,0,27,12
2022-11-06,0,0,0,39,0
2022-11-13,0,0,0,26,0
2022-11-20,0,0,0,22,0
2022-11-27,0,0,0,18,0
2022-12-04,0,0,0,33,0
2022-12-11,0,0,0,30,11
2022-12-18,0,0,0,31,0
2022-12-25,0,0,0,32,0
2023-01-01,0,0,0,91,0
2023-01-08,0,0,0,54,10
2023-01-15,0,0,0,38,0
2023-01-22,0,0,0,36,0
2023-01-29,0,0,0,52,19
2023-02-05,0,0,0,40,0
2023-02-12,0,0,0,35,0
2023-02-19,0,0,0,55,0
2023-02-26,0,0,0,38,0
2023-03-05,0,0,0,44,0
2023-03-12,0,0,0,31,0
2023-03-19,0,0,0,34,0
2023-03-26,0,0,0,27,12
2023-04-02,0,0,0,38,0
2023-04-09,0,0,0,31,14
2023-04-16,0,0,0,28,0
2023-04-23,0,0,0,33,0
2023-04-30,0,0,0,30,0
2023-05-07,0,0,0,35,0
2023-05-14,0,0,0,27,15
2023-05-21,0,0,0,37,0
2023-05-28,0,0,0,28,0
2023-06-04,0,0,13,33,10
2023-06-11,0,0,0,31,0
2023-06-18,0,0,0,28,15
2023-06-25,0,0,0,28,12
2023-07-02,0,0,0,23,0
2023-07-09,0,15,0,30,0
2023-07-16,0,0,0,49,15
2023-07-23,0,0,0,24,0
2023-07-30,0,0,0,45,0
2023-08-06,0,0,0,34,0
2023-08-13,0,0,0,28,0
2023-08-20,0,0,0,72,13
2023-08-27,0,12,0,61,12
2023-09-03,0,0,0,41,0
2023-09-10,0,0,0,30,0
2023-09-17,0,0,0,39,11
2023-09-24,0,11,0,33,0
2023-10-01,0,0,0,49,15
2023-10-08,0,0,0,52,12
2023-10-15,0,0,0,37,0
2023-10-22,0,0,0,57,11
2023-10-29,0,0,0,43,0
2023-11-05,12,0,0,45,11
2023-11-12,0,0,0,39,11
2023-11-19,0,0,0,30,13
2023-11-26,0,0,0,41,11
2023-12-03,0,0,0,34,0
2023-12-10,0,0,0,43,10
2023-12-17,0,0,0,38,0
2023-12-24,0,0,0,42,0
2023-12-31,0,0,0,49,0
2024-01-07,0,0,0,47,0
2024-01-14,0,0,0,46,15
2024-01-21,0,0,0,100,17
2024-01-28,0,0,0,62,0
2024-02-04,0,0,0,61,0
2024-02-11,0,0,0,61,16
2024-02-18,0,0,0,56,11
2024-02-25,0,0,0,44,0
2024-03-03,0,11,0,53,15
2024-03-10,0,0,0,39,0
2024-03-17,0,0,0,38,0
2024-03-24,0,0,0,46,0
2024-03-31,0,0,0,49,0
2024-04-07,0,0,0,45,19
2024-04-14,0,0,0,39,0
2024-04-21,0,0,0,32,0
2024-04-28,0,0,0,31,0
2024-05-05,0,0,0,25,0
2024-05-12,0,0,0,47,0
2024-05-19,0,0,0,33,0
2024-05-26,0,0,0,50,0
2024-06-02,0,0,0,39,0
2024-06-09,0,0,0,31,0
2024-06-16,0,0,0,42,11
2024-06-23,0,0,0,41,0
2024-06-30,0,0,0,47,0
2024-07-07,0,0,0,38,15
2024-07-14,0,16,0,33,0
2024-07-21,0,0,0,49,0
2024-07-28,0,0,0,29,0
2024-08-04,0,0,0,42,14
2024-08-11,0,0,0,42,0
2024-08-18,0,0,0,39,0
2024-08-25,0,20,0,81,14
2024-09-01,0,26,0,96,0
2024-09-08,0,0,0,62,0
2024-09-15,0,0,0,49,18
2024-09-22,0,0,0,49,13
2024-09-29,0,0,0,46,0
2024-10-06,0,0,0,42,14
2024-10-13,0,0,0,51,15
2024-10-20,0,0,0,45,0
2024-10-27,0,0,0,42,0
2024-11-03,0,0,0,47,0
2024-11-10,0,0,0,39,0
2024-11-17,0,0,0,34,0
2024-11-24,0,0,0,36,0
2024-12-01,0,0,0,48,0
2024-12-08,0,0,0,48,0
2024-12-15,0,0,0,50,0
2024-12-22,0,0,0,45,0
2024-12-29,0,0,0,54,0
2025-01-05,0,0,0,68,0
2025-01-12,0,0,0,38,0
2025-01-19,0,0,0,42,14
2025-01-26,0,0,0,48,13
2025-02-02,0,0,0,38,0
2025-02-09,0,0,0,23,13
2025-02-16,0,0,0,33,0
2025-02-23,0,0,0,38,0
2025-03-02,0,0,0,41,0
2025-03-09,0,0,0,42,0
2025-03-16,0,0,0,37,0
2025-03-23,0,0,0,23,0
2025-03-30,0,0,0,38,0
2025-04-06,0,0,0,39,15
2025-04-13,0,0,0,35,0
2025-04-20,0,0,0,42,0
2025-04-27,0,13,0,30,0
2025-05-04,0,0,0,39,0
2025-05-11,0,0,0,25,0
2025-05-18,0,0,0,36,21
2025-05-25,0,0,0,41,0
2025-06-01,0,0,0,38,16
2025-06-08,0,0,0,34,0
2025-06-15,0,0,0,23,0
2025-06-22,0,0,0,36,0
2025-06-29,0,0,0,42,0
2025-07-06,0,0,0,38,15
2025-07-13,0,0,0,41,0
2025-07-20,0,0,0,31,0
2025-07-27,0,0,0,40,16
2025-08-03,0,0,0,40,0
2025-08-10,0,0,0,39,0
2025-08-17,0,0,0,43,0
2025-08-24,0,0,0,36,0
2025-08-31,0,0,0,56,0
2025-09-07,0,13,0,36,0
2025-09-14,0,0,0,48,0
2025-09-21,0,0,0,39,0
2025-09-28,0,0,0,44,0
2025-10-05,0,0,0,31,0
2025-10-12,0,0,0,38,0
2025-10-19,0,0,0,39,0
2025-10-26,0,0,0,48,0
2025-11-02,0,0,0,41,12
2025-11-09,0,0,0,32,0
2025-11-16,0,0,0,33,0
2025-11-23,0,0,0,33,14
2025-11-30,0,0,0,42,0
2025-12-07,0,0,0,43,0
2025-12-14,0,0,0,26,15
2025-12-21,0,0,0,26,17
2025-12-28,0,0,0,57,0
2026-01-04,0,0,0,46,0
2026-01-11,0,0,0,34,14
2026-01-18,0,0,0,43,0
2026-01-25,0,0,0,39,0
2026-02-01,0,0,0,38,0
2026-02-08,0,0,13,42,17
2026-02-15,0,0,0,38,0
2026-02-22,0,0,0,29,0
2026-03-01,0,0,0,38,0
2026-03-08,0,0,0,28,0
2026-03-15,0,0,0,29,0
2026-03-22,0,0,0,27,0
2026-03-29,0,0,0,44,0
2026-04-05,0,0,0,34,0
2026-04-12,0,0,0,34,0
2026-04-19,0,0,0,42,0
2026-04-26,0,0,0,32,0
2026-05-03,0,12,0,100,22
2026-05-10,0,0,0,33,0
2026-05-17,0,0,0,38,0
2026-05-24,0,0,0,39,15
2026-05-31,0,0,0,37,16
2026-06-07,0,0,0,42,0
2026-06-14,0,0,0,37,0
2026-06-21,0,0,0,31,0
2026-06-28,0,0,0,37,0
2026-07-05,0,0,0,31,0
2026-07-12,0,0,0,37,0
2026-07-19,19,0,0,26,0
2026-07-26,0,0,0,52,0
2026-08-02,0,0,0,40,18
2026-08-09,0,0,0,31,14
2026-08-16,0,0,0,24,0
2026-08-23,0,0,0,25,13
2026-08-30,1,2,0,51,6
2026-09-06,1,5,0,43,12
2026-09-13,0,3,0,33,11
