Time,carte de crédit ING,ING kredietkaart,ING Card,BNP visa
2025-09-28,0,0,53,0
2025-10-05,0,0,52,61
2025-10-12,0,0,63,0
2025-10-19,0,0,49,0
2025-10-26,0,0,39,0
2025-11-02,0,0,49,0
2025-11-09,0,0,63,0
2025-11-16,0,0,54,0
2025-11-23,0,0,63,0
2025-11-30,0,0,68,0
2025-12-07,0,0,54,40
2025-12-14,0,0,59,0
2025-12-21,0,0,0,0
2025-12-28,0,0,0,40
2026-01-04,0,0,54,0
2026-01-11,0,0,40,40
2026-01-18,0,0,38,42
2026-01-25,0,0,45,46
2026-02-01,0,0,45,0
2026-02-08,0,0,50,28
2026-02-15,0,0,39,0
2026-02-22,0,0,59,0
2026-03-01,0,0,36,32
2026-03-08,0,0,59,34
2026-03-15,0,0,0,32
2026-03-22,0,0,40,39
2026-03-29,0,0,57,0
2026-04-05,0,0,0,32
2026-04-12,0,0,34,32
2026-04-19,0,0,0,32
2026-04-26,0,0,41,0
2026-05-03,0,0,0,0
2026-05-10,0,0,70,30
2026-05-17,0,0,57,0
2026-05-24,0,30,0,0
2026-05-31,0,0,54,36
2026-06-07,0,0,37,0
2026-06-14,0,0,33,37
2026-06-21,0,0,40,0
2026-06-28,0,43,50,0
2026-07-05,0,0,31,40
2026-07-12,0,0,53,0
2026-07-19,0,0,0,0
2026-07-26,0,0,0,0
2026-08-02,0,0,36,0
2026-08-09,0,0,54,0
2026-08-16,0,0,0,0
2026-08-23,0,0,42,33
2026-08-30,3,2,16,10
2026-09-06,5,6,37,27
2026-09-13,0,0,33,24
